phi,theta
0.06,-26
0.06,-26
0.05844,-25.999
0.057304,-25.997
0.056222,-25.996
0.05524,-25.995
0.054335,-25.994
0.053498,-25.993
0.052721,-25.992
0.051996,-25.991
0.051316,-25.991
0.050677,-25.99
0.050072,-25.989
0.0495,-25.988
0.048956,-25.987
0.048437,-25.986
0.047941,-25.985
0.047467,-25.984
0.047012,-25.983
0.046574,-25.982
0.046153,-25.981
0.045748,-25.98
0.045356,-25.98
0.044978,-25.979
0.044613,-25.978
0.04426,-25.977
0.043919,-25.976
0.043588,-25.975
0.043268,-25.974
0.042958,-25.973
0.042657,-25.972
0.042366,-25.971
0.042084,-25.97
0.041811,-25.969
0.041545,-25.968
0.041289,-25.967
0.041039,-25.966
0.040798,-25.965
0.040564,-25.964
0.040337,-25.962
0.040117,-25.961
0.039905,-25.96
0.039698,-25.959
0.039499,-25.958
0.039305,-25.957
0.039118,-25.956
0.038936,-25.955
0.038761,-25.954
0.038591,-25.953
0.038427,-25.952
0.038268,-25.95
0.038114,-25.949
0.037965,-25.948
0.037821,-25.947
0.037683,-25.946
0.037548,-25.945
0.037419,-25.944
0.037294,-25.942
0.037173,-25.941
0.037056,-25.94
0.036944,-25.939
0.036835,-25.938
0.036731,-25.936
0.03663,-25.935
0.036533,-25.934
0.036439,-25.933
0.036349,-25.932
0.036262,-25.93
0.036179,-25.929
0.036099,-25.928
0.036022,-25.927
0.035947,-25.925
0.035876,-25.924
0.035808,-25.923
0.035742,-25.922
0.035679,-25.92
0.035619,-25.919
0.035561,-25.918
0.035505,-25.916
0.035452,-25.915
0.035402,-25.914
0.035353,-25.913
0.035307,-25.911
0.035262,-25.91
0.03522,-25.909
0.03518,-25.907
0.035141,-25.906
0.035105,-25.905
0.03507,-25.903
0.035037,-25.902
0.035005,-25.901
0.034975,-25.899
0.034947,-25.898
0.03492,-25.896
0.034895,-25.895
0.034871,-25.894
0.034848,-25.892
0.034827,-25.891
0.034807,-25.889
0.034788,-25.888
0.034771,-25.887
0.034754,-25.885
0.034739,-25.884
0.034724,-25.882
0.034711,-25.881
0.034699,-25.88
0.034687,-25.878
0.034677,-25.877
0.034667,-25.875
0.034658,-25.874
0.03465,-25.872
0.034643,-25.871
0.034637,-25.869
0.034631,-25.868
0.034626,-25.866
0.034621,-25.865
0.034618,-25.863
0.034614,-25.862
0.034612,-25.86
0.03461,-25.859
0.034608,-25.857
0.034607,-25.856
0.034606,-25.854
0.034606,-25.853
0.034607,-25.851
0.034607,-25.85
0.034609,-25.848
0.03461,-25.847
0.034612,-25.845
0.034614,-25.843
0.034617,-25.842
0.03462,-25.84
0.034623,-25.839
0.034626,-25.837
0.03463,-25.836
0.034634,-25.834
0.034638,-25.832
0.034642,-25.831
0.034647,-25.829
0.034652,-25.828
0.034657,-25.826
0.034662,-25.824
0.034667,-25.823
0.034673,-25.821
0.034678,-25.819
0.034684,-25.818
0.03469,-25.816
0.034696,-25.814
0.034702,-25.813
0.034708,-25.811
0.034714,-25.809
0.03472,-25.808
0.034727,-25.806
0.034733,-25.804
0.03474,-25.802
0.034746,-25.801
0.034753,-25.799
0.034759,-25.797
0.034766,-25.796
0.034772,-25.794
0.034779,-25.792
0.034786,-25.79
0.034792,-25.789
0.034799,-25.787
0.034805,-25.785
0.034812,-25.783
0.034819,-25.782
0.034825,-25.78
0.034832,-25.778
0.034838,-25.776
0.034845,-25.774
0.034851,-25.773
0.034858,-25.771
0.034864,-25.769
0.03487,-25.767
0.034877,-25.765
0.034883,-25.763
0.034889,-25.762
0.034895,-25.76
0.034901,-25.758
0.034907,-25.756
0.034913,-25.754
0.034919,-25.752
0.034925,-25.75
0.034931,-25.749
0.034937,-25.747
0.034943,-25.745
0.034948,-25.743
0.034954,-25.741
0.034959,-25.739
0.034965,-25.737
0.03497,-25.735
0.034975,-25.733
0.034981,-25.731
0.034986,-25.729
0.034991,-25.728
0.034996,-25.726
0.035001,-25.724
0.035006,-25.722
0.035011,-25.72
0.035015,-25.718
0.03502,-25.716
0.035025,-25.714
0.035029,-25.712
0.035034,-25.71
0.035038,-25.708
0.035042,-25.706
0.035047,-25.704
0.035051,-25.702
0.035055,-25.7
0.035059,-25.698
0.035063,-25.696
0.035067,-25.694
0.035071,-25.691
0.035075,-25.689
0.035078,-25.687
0.035082,-25.685
0.035086,-25.683
0.035089,-25.681
0.035092,-25.679
0.035096,-25.677
0.035099,-25.675
0.035102,-25.673
0.035106,-25.671
0.035109,-25.669
0.035112,-25.666
0.035115,-25.664
0.035118,-25.662
0.035121,-25.66
0.035124,-25.658
0.035126,-25.656
0.035129,-25.654
0.035132,-25.651
0.035134,-25.649
0.035137,-25.647
0.035139,-25.645
0.035142,-25.643
0.035144,-25.64
0.035147,-25.638
0.035149,-25.636
0.035151,-25.634
0.035153,-25.632
0.035156,-25.629
0.035158,-25.627
0.03516,-25.625
0.035162,-25.623
0.035164,-25.62
0.035166,-25.618
0.035167,-25.616
0.035169,-25.614
0.035171,-25.611
0.035173,-25.609
0.035175,-25.607
0.035176,-25.605
0.035178,-25.602
0.035179,-25.6
0.035181,-25.598
0.035182,-25.595
0.035184,-25.593
0.035185,-25.591
0.035187,-25.588
0.035188,-25.586
0.035189,-25.584
0.035191,-25.581
0.035192,-25.579
0.035193,-25.577
0.035194,-25.574
0.035196,-25.572
0.035197,-25.569
0.035198,-25.567
0.035199,-25.565
0.0352,-25.562
0.035201,-25.56
0.035202,-25.557
0.035203,-25.555
0.035204,-25.553
0.035205,-25.55
0.035206,-25.548
0.035207,-25.545
0.035208,-25.543
0.035208,-25.54
0.035209,-25.538
0.03521,-25.535
0.035211,-25.533
0.035211,-25.531
0.035212,-25.528
0.035213,-25.526
0.035214,-25.523
0.035214,-25.521
0.035215,-25.518
0.035215,-25.516
0.035216,-25.513
0.035217,-25.511
0.035217,-25.508
0.035218,-25.505
0.035218,-25.503
0.035219,-25.5
0.035219,-25.498
0.03522,-25.495
0.03522,-25.493
0.035221,-25.49
0.035221,-25.488
0.035222,-25.485
0.035222,-25.482
0.035222,-25.48
0.035223,-25.477
0.035223,-25.475
0.035224,-25.472
0.035224,-25.469
0.035224,-25.467
0.035225,-25.464
0.035225,-25.461
0.035225,-25.459
0.035226,-25.456
0.035226,-25.453
0.035226,-25.451
0.035226,-25.448
0.035227,-25.445
0.035227,-25.443
0.035227,-25.44
0.035227,-25.437
0.035228,-25.435
0.035228,-25.432
0.035228,-25.429
0.035228,-25.427
0.035228,-25.424
0.035229,-25.421
0.035229,-25.418
0.035229,-25.416
0.035229,-25.413
0.035229,-25.41
0.035229,-25.407
0.03523,-25.405
0.03523,-25.402
0.03523,-25.399
0.03523,-25.396
0.03523,-25.393
0.03523,-25.391
0.03523,-25.388
0.035231,-25.385
0.035231,-25.382
0.035231,-25.379
0.035231,-25.377
0.035231,-25.374
0.035231,-25.371
0.035231,-25.368
0.035231,-25.365
0.035231,-25.362
0.035231,-25.36
0.035231,-25.357
0.035232,-25.354
0.035232,-25.351
0.035232,-25.348
0.035232,-25.345
0.035232,-25.342
0.035232,-25.339
0.035232,-25.336
0.035232,-25.333
0.035232,-25.331
0.035232,-25.328
0.035232,-25.325
0.035232,-25.322
0.035232,-25.319
0.035232,-25.316
0.035232,-25.313
0.035232,-25.31
0.035232,-25.307
0.035232,-25.304
0.035232,-25.301
0.035232,-25.298
0.035233,-25.295
0.035233,-25.292
0.035233,-25.289
0.035233,-25.286
0.035233,-25.283
0.035233,-25.28
0.035233,-25.277
0.035233,-25.274
0.035233,-25.271
0.035233,-25.268
0.035233,-25.265
0.035233,-25.262
0.035233,-25.259
0.035233,-25.256
0.035233,-25.252
0.035233,-25.249
0.035233,-25.246
0.035233,-25.243
0.035233,-25.24
0.035233,-25.237
0.035233,-25.234
0.035233,-25.231
0.035233,-25.228
0.035233,-25.225
0.035233,-25.221
0.035233,-25.218
0.035233,-25.215
0.035233,-25.212
0.035233,-25.209
0.035233,-25.206
0.035233,-25.202
0.035233,-25.199
0.035233,-25.196
0.035233,-25.193
0.035233,-25.19
0.035233,-25.186
0.035233,-25.183
0.035233,-25.18
0.035233,-25.177
0.035233,-25.174
0.035233,-25.17
0.035233,-25.167
0.035233,-25.164
0.035233,-25.161
0.035233,-25.157
0.035233,-25.154
0.035233,-25.151
0.035233,-25.148
0.035233,-25.144
0.035233,-25.141
0.035233,-25.138
0.035233,-25.134
0.035233,-25.131
0.035233,-25.128
0.035233,-25.124
0.035233,-25.121
0.035233,-25.118
0.035233,-25.114
0.035233,-25.111
0.035233,-25.108
0.035233,-25.104
0.035233,-25.101
0.035233,-25.098
0.035233,-25.094
0.035233,-25.091
0.035233,-25.088
0.035233,-25.084
0.035233,-25.081
0.035233,-25.077
0.035233,-25.074
0.035233,-25.071
0.035233,-25.067
0.035233,-25.064
0.035233,-25.06
0.035233,-25.057
0.035233,-25.053
0.035233,-25.05
0.035233,-25.046
0.035233,-25.043
0.035233,-25.04
0.035233,-25.036
0.035233,-25.033
0.035234,-25.029
0.035234,-25.026
0.035234,-25.022
0.035234,-25.019
0.035234,-25.015
0.035234,-25.012
0.035234,-25.008
0.035234,-25.004
0.035234,-25.001
0.035234,-24.997
0.035234,-24.994
0.035234,-24.99
0.035234,-24.987
0.035234,-24.983
0.035234,-24.98
0.035234,-24.976
0.035234,-24.972
0.035234,-24.969
0.035234,-24.965
0.035234,-24.962
0.035234,-24.958
0.035234,-24.954
0.035234,-24.951
0.035234,-24.947
0.035234,-24.944
0.035234,-24.94
0.035234,-24.936
0.035234,-24.933
0.035234,-24.929
