phi,theta
0.01,0
0.01,0
0.0099767,2.2918E-05
0.0099333,6.6562E-05
0.0098724,0.000129
0.0097966,0.0002085
0.0097078,0.00030357
0.0096079,0.00041285
0.0094987,0.00053514
0.0093814,0.0006694
0.0092574,0.00081466
0.0091278,0.0009701
0.0089935,0.001135
0.0088554,0.0013086
0.0087142,0.0014904
0.0085706,0.0016798
0.0084252,0.0018764
0.0082784,0.0020796
0.0081308,0.0022892
0.0079826,0.0025048
0.0078343,0.002726
0.0076861,0.0029526
0.0075382,0.0031843
0.007391,0.0034208
0.0072446,0.0036619
0.0070992,0.0039075
0.0069549,0.0041574
0.0068119,0.0044113
0.0066702,0.0046691
0.0065299,0.0049307
0.0063913,0.0051959
0.0062542,0.0054646
0.0061188,0.0057367
0.0059851,0.006012
0.0058531,0.0062905
0.005723,0.0065721
0.0055947,0.0068565
0.0054682,0.0071439
0.0053436,0.007434
0.0052208,0.0077268
0.0051,0.0080222
0.004981,0.0083201
0.0048639,0.0086205
0.0047487,0.0089232
0.0046354,0.0092283
0.0045239,0.0095356
0.0044143,0.009845
0.0043066,0.010157
0.0042008,0.01047
0.0040968,0.010786
0.0039946,0.011104
0.0038942,0.011423
0.0037956,0.011744
0.0036988,0.012067
0.0036038,0.012392
0.0035105,0.012719
0.003419,0.013047
0.0033291,0.013376
0.003241,0.013707
0.0031546,0.01404
0.0030698,0.014374
0.0029866,0.01471
0.0029051,0.015047
0.0028251,0.015385
0.0027468,0.015724
0.00267,0.016065
0.0025948,0.016407
0.002521,0.01675
0.0024488,0.017094
0.0023781,0.017439
0.0023088,0.017785
0.0022409,0.018133
0.0021745,0.018481
0.0021095,0.01883
0.0020458,0.01918
0.0019835,0.019531
0.0019226,0.019883
0.001863,0.020236
0.0018047,0.02059
0.0017476,0.020944
0.0016918,0.021299
0.0016373,0.021655
0.001584,0.022011
0.0015318,0.022368
0.0014809,0.022726
0.0014311,0.023084
0.0013825,0.023443
0.001335,0.023803
0.0012886,0.024163
0.0012433,0.024523
0.0011991,0.024885
0.0011559,0.025246
0.0011137,0.025608
0.0010726,0.025971
0.0010325,0.026334
0.00099333,0.026697
0.00095515,0.027061
0.00091791,0.027425
0.0008816,0.027789
0.00084621,0.028154
0.00081171,0.028519
0.0007781,0.028884
0.00074534,0.02925
0.00071344,0.029616
0.00068237,0.029982
0.00065211,0.030348
0.00062265,0.030715
0.00059398,0.031082
0.00056608,0.031449
0.00053894,0.031816
0.00051253,0.032183
0.00048685,0.032551
0.00046189,0.032919
0.00043762,0.033286
0.00041403,0.033654
